Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1961","1961","1000 ha","1351226.3432","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1962","1962","1000 ha","1354684.216","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1963","1963","1000 ha","1362204.4326","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1964","1964","1000 ha","1364601.6599","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1965","1965","1000 ha","1370281.0343","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1966","1966","1000 ha","1367335.409","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1967","1967","1000 ha","1371166.6072","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1968","1968","1000 ha","1383094.2467","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1969","1969","1000 ha","1398606.176","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1970","1970","1000 ha","1394463.7226","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1971","1971","1000 ha","1390565.64","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1972","1972","1000 ha","1390649.63","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1973","1973","1000 ha","1397659.49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1974","1974","1000 ha","1395884.67","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1975","1975","1000 ha","1395173.04","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1976","1976","1000 ha","1408126.1225","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1977","1977","1000 ha","1406813.64","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1978","1978","1000 ha","1413802.31","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1979","1979","1000 ha","1415759.91","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1980","1980","1000 ha","1421116.148","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1981","1981","1000 ha","1421204.79","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1982","1982","1000 ha","1432903.63","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1983","1983","1000 ha","1438800.98","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1984","1984","1000 ha","1457708.48","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1985","1985","1000 ha","1473868.057","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1986","1986","1000 ha","1481209.192","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1987","1987","1000 ha","1484147","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1988","1988","1000 ha","1483575.7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1989","1989","1000 ha","1484220.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1990","1990","1000 ha","1486011.7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1991","1991","1000 ha","1489500.927","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1992","1992","1000 ha","1485904.78","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1993","1993","1000 ha","1486464.2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6620","Cropland","1994","1994","1000 ha","1485405.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
