Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","5000","World","5312","Area harvested","800","Agave fibres nes","2018","2018","ha","57551","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","221","Almonds, with shell","2018","2018","ha","2041336","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","711","Anise, badian, fennel, coriander","2018","2018","ha","1258068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","515","Apples","2018","2018","ha","4904305","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","526","Apricots","2018","2018","ha","548842","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","226","Areca nuts","2018","2018","ha","1029894","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","366","Artichokes","2018","2018","ha","127472","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","367","Asparagus","2018","2018","ha","1584544","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","572","Avocados","2018","2018","ha","918531","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","203","Bambara beans","2018","2018","ha","253973","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","486","Bananas","2018","2018","ha","5728680","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","44","Barley","2018","2018","ha","47970336","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","782","Bastfibres, other","2018","2018","ha","143292","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","176","Beans, dry","2018","2018","ha","34495662","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","414","Beans, green","2018","2018","ha","1567394","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","558","Berries nes","2018","2018","ha","136874","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","552","Blueberries","2018","2018","ha","109270","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","216","Brazil nuts, with shell","2018","2018","ha","12162","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","181","Broad beans, horse beans, dry","2018","2018","ha","2510292","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","89","Buckwheat","2018","2018","ha","3001495","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","358","Cabbages and other brassicas","2018","2018","ha","2412167","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","101","Canary seed","2018","2018","ha","205322","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","461","Carobs","2018","2018","ha","42866","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","426","Carrots and turnips","2018","2018","ha","1131160","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","217","Cashew nuts, with shell","2018","2018","ha","5972724","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","591","Cashewapple","2018","2018","ha","673630","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","125","Cassava","2018","2018","ha","24590818","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","378","Cassava leaves","2018","2018","ha","236270","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","265","Castor oil seed","2018","2018","ha","1296855","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","393","Cauliflowers and broccoli","2018","2018","ha","1417806","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","108","Cereals nes","2018","2018","ha","6006720","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","531","Cherries","2018","2018","ha","441953","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","530","Cherries, sour","2018","2018","ha","215893","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","220","Chestnut","2018","2018","ha","612877","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","191","Chick peas","2018","2018","ha","17849300","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","459","Chicory roots","2018","2018","ha","16598","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","689","Chillies and peppers, dry","2018","2018","ha","1776334","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","401","Chillies and peppers, green","2018","2018","ha","1990423","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5312","Area harvested","693","Cinnamon (cannella)","2018","2018","ha","264623","A","Aggregate, may include official, semi-official, estimated or calculated data"
