Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","351","China","5521","Feed","2511","Wheat and products","2013","2013","1000 tonnes","26694","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5527","Seed","2511","Wheat and products","2013","2013","1000 tonnes","4600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5123","Losses","2511","Wheat and products","2013","2013","1000 tonnes","3010","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5131","Processing","2511","Wheat and products","2013","2013","1000 tonnes","317","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5154","Other uses (non-food)","2511","Wheat and products","2013","2013","1000 tonnes","2948","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5142","Food","2511","Wheat and products","2013","2013","1000 tonnes","89386","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2013","2013","kg","63.1","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","664","Food supply (kcal/capita/day)","2511","Wheat and products","2013","2013","kcal/capita/day","546","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5521","Feed","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","12117","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5527","Seed","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","4679","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5123","Losses","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","6406","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5131","Processing","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","12","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5154","Other uses (non-food)","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","2085","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5142","Food","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","109725","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","645","Food supply quantity (kg/capita/yr)","2805","Rice (Milled Equivalent)","2013","2013","kg","77.45","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","664","Food supply (kcal/capita/day)","2805","Rice (Milled Equivalent)","2013","2013","kcal/capita/day","797","Fc","Calculated data"
