Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","5000","World","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","771775","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2511","Wheat and products","2017","2017","1000 tonnes","26397","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2511","Wheat and products","2017","2017","1000 tonnes","26505","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2805","Rice (Milled Equivalent)","2017","2017","1000 tonnes","767558","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2805","Rice (Milled Equivalent)","2017","2017","1000 tonnes","41050","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2805","Rice (Milled Equivalent)","2017","2017","1000 tonnes","38843","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","148111","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2513","Barley and products","2017","2017","1000 tonnes","5035","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2513","Barley and products","2017","2017","1000 tonnes","1710","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","1161299","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2514","Maize and products","2017","2017","1000 tonnes","63102","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2514","Maize and products","2017","2017","1000 tonnes","231922","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2515","Rye and products","2017","2017","1000 tonnes","13760","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2515","Rye and products","2017","2017","1000 tonnes","537","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2515","Rye and products","2017","2017","1000 tonnes","35","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2516","Oats","2017","2017","1000 tonnes","26158","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2516","Oats","2017","2017","1000 tonnes","992","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2516","Oats","2017","2017","1000 tonnes","160","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2517","Millet and products","2017","2017","1000 tonnes","28452","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2517","Millet and products","2017","2017","1000 tonnes","1954","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2517","Millet and products","2017","2017","1000 tonnes","306","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","56610","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2518","Sorghum and products","2017","2017","1000 tonnes","2679","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2518","Sorghum and products","2017","2017","1000 tonnes","2478","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2520","Cereals, Other","2017","2017","1000 tonnes","32443","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2520","Cereals, Other","2017","2017","1000 tonnes","1392","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2520","Cereals, Other","2017","2017","1000 tonnes","1340","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2532","Cassava and products","2017","2017","1000 tonnes","258757","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2532","Cassava and products","2017","2017","1000 tonnes","29310","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2532","Cassava and products","2017","2017","1000 tonnes","39301","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2531","Potatoes and products","2017","2017","1000 tonnes","389191","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2531","Potatoes and products","2017","2017","1000 tonnes","40127","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2531","Potatoes and products","2017","2017","1000 tonnes","7485","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2533","Sweet potatoes","2017","2017","1000 tonnes","111626","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2533","Sweet potatoes","2017","2017","1000 tonnes","9232","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2533","Sweet potatoes","2017","2017","1000 tonnes","313","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2535","Yams","2017","2017","1000 tonnes","72606","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2535","Yams","2017","2017","1000 tonnes","6434","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2535","Yams","2017","2017","1000 tonnes","17418","A","Aggregate, may include official, semi-official, estimated or calculated data"
