Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2884","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2013","2013","kcal/capita/day","2370","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2941","Animal Products","2013","2013","kcal/capita/day","514","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2905","Cereals - Excluding Beer","2013","2013","1000 tonnes","68551","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2905","Cereals - Excluding Beer","2013","2013","1000 tonnes","107125","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2905","Cereals - Excluding Beer","2013","2013","1000 tonnes","1029021","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2905","Cereals - Excluding Beer","2013","2013","kg","147.06","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2013","2013","kcal/capita/day","1292","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2511","Wheat and products","2013","2013","1000 tonnes","34283","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2511","Wheat and products","2013","2013","1000 tonnes","27533","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2511","Wheat and products","2013","2013","1000 tonnes","457823","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2013","2013","kg","65.43","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2511","Wheat and products","2013","2013","kcal/capita/day","527","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","12197","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","27377","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","377287","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2805","Rice (Milled Equivalent)","2013","2013","kg","53.92","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2805","Rice (Milled Equivalent)","2013","2013","kcal/capita/day","541","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2513","Barley and products","2013","2013","1000 tonnes","8803","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2513","Barley and products","2013","2013","1000 tonnes","4624","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2513","Barley and products","2013","2013","1000 tonnes","6794","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2013","2013","kg","0.97","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2513","Barley and products","2013","2013","kcal/capita/day","7","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2514","Maize and products","2013","2013","1000 tonnes","6838","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2514","Maize and products","2013","2013","1000 tonnes","40703","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2514","Maize and products","2013","2013","1000 tonnes","125181","A","Aggregate, may include official, semi-official, estimated or calculated data"
