Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","5521","Feed","2511","Wheat and products","2013","2013","1000 tonnes","129669","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2511","Wheat and products","2013","2013","1000 tonnes","34283","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2511","Wheat and products","2013","2013","1000 tonnes","27533","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2511","Wheat and products","2013","2013","1000 tonnes","7875","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2511","Wheat and products","2013","2013","1000 tonnes","22428","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2511","Wheat and products","2013","2013","1000 tonnes","457823","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2013","2013","kg","65.43","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2511","Wheat and products","2013","2013","kcal/capita/day","527","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","33596","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","12197","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","27377","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","6738","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","18464","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","377287","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2805","Rice (Milled Equivalent)","2013","2013","kg","53.92","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2805","Rice (Milled Equivalent)","2013","2013","kcal/capita/day","541","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2513","Barley and products","2013","2013","1000 tonnes","92660","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2513","Barley and products","2013","2013","1000 tonnes","8803","A","Aggregate, may include official, semi-official, estimated or calculated data"
