Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","231","United States of America","5527","Seed","2511","Wheat and products","2013","2013","1000 tonnes","2096","S","Standardized data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","5142","Food","2511","Wheat and products","2013","2013","1000 tonnes","25742","S","Standardized data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2013","2013","kg","80.43","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","664","Food supply (kcal/capita/day)","2511","Wheat and products","2013","2013","kcal/capita/day","599","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","5527","Seed","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","109","S","Standardized data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","5123","Losses","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","200","S","Standardized data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","5142","Food","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","2203","S","Standardized data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","645","Food supply quantity (kg/capita/yr)","2805","Rice (Milled Equivalent)","2013","2013","kg","6.88","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","664","Food supply (kcal/capita/day)","2805","Rice (Milled Equivalent)","2013","2013","kcal/capita/day","72","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","5527","Seed","2513","Barley and products","2013","2013","1000 tonnes","107","S","Standardized data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","5142","Food","2513","Barley and products","2013","2013","1000 tonnes","160","S","Standardized data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2013","2013","kg","0.5","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","664","Food supply (kcal/capita/day)","2513","Barley and products","2013","2013","kcal/capita/day","5","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","5527","Seed","2514","Maize and products","2013","2013","1000 tonnes","582","S","Standardized data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","5142","Food","2514","Maize and products","2013","2013","1000 tonnes","3917","S","Standardized data"
"FBSH","Food Balances (old methodology and population)","231","United States of America","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2013","2013","kg","12.24","Fc","Calculated data"
