Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","5000","World","5419","Yield","800","Agave fibres nes","2017","2017","hg/ha","7060","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","221","Almonds, with shell","2017","2017","hg/ha","11629","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","711","Anise, badian, fennel, coriander","2017","2017","hg/ha","9246","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","515","Apples","2017","2017","hg/ha","168508","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","526","Apricots","2017","2017","hg/ha","79416","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","226","Areca nuts","2017","2017","hg/ha","13994","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","366","Artichokes","2017","2017","hg/ha","122995","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","367","Asparagus","2017","2017","hg/ha","57395","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","572","Avocados","2017","2017","hg/ha","100879","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","203","Bambara beans","2017","2017","hg/ha","7152","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","486","Bananas","2017","2017","hg/ha","202073","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","44","Barley","2017","2017","hg/ha","31356","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","782","Bastfibres, other","2017","2017","hg/ha","15224","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","176","Beans, dry","2017","2017","hg/ha","8614","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","414","Beans, green","2017","2017","hg/ha","153302","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","558","Berries nes","2017","2017","hg/ha","72408","Fc","Calculated data"
"QC","Crops","5000","World","5419","Yield","552","Blueberries","2017","2017","hg/ha","54483","Fc","Calculated data"
