Nation,Name,type,source,information,id
,"fish oil, from anchovy, ecoinvent proxy, econ allocation? (Copy)",agg,EI3.5 cutoff,,{6c866508-9ee1-4a18-a907-50ddf0af2953}
,"fishmeal, from anchovy, ecoinvent proxy, econ allocation?",agg,EI3.5 cutoff,,{10e39881-e445-4b72-882c-a38e6f95844f}
EU-28,Electricity grid mix,agg,ts,"AC, technology mix|consumption mix, to consumer|<1kV",{001b3cb7-b868-4061-8a91-3e6d7bcc90c6}
US,Electricity grid mix,agg,ts,"AC, technology mix|consumption mix, to consumer|<1kV",{6b6fc994-8476-44a3-81cc-9829f2dfe992}
NO,Electricity grid mix,agg,ts,"AC, technology mix|consumption mix, to consumer|<1kV",{1e17b418-defe-4d75-87ec-9c0d8a398859}
EU-28,Heavy fuel oil at refinery (1.0wt.% S),agg,ts,"from crude oil|production mix, at refinery|1 wt.% sulphur",{50462b0d-7d2b-40d4-843e-9857061e3c08}
US,Sulphur (elemental) at refinery,agg,ts,"from crude oil|production mix, at refinery|elemental sulphur",{10a4afaa-d58f-44cb-b1d8-1880aa6d1761}
EU-28,Diesel mix at refinery,agg,ts,"from crude oil and bio components|production mix, at refinery|10 ppm sulphur, 6.99 wt.% bio components",{244524ed-7b85-4548-b345-f58dc5cf9dac}
US,Natural gas mix,agg,ts,"technology mix|consumption mix, to consumer|medium pressure level (< 1 bar)",{90be2ca7-96eb-4949-8e6d-c60dd58018aa}
BR,Thermal energy from light fuel oil (LFO),agg,ts,"technology mix regarding firing and flue gas cleaning|production mix, at heat plant",{64d62f39-0610-4d41-9128-c566450ea79f}
DE,Wheat starch and gluten,u-bb,,,{c7fd7cdf-45ac-45b0-a73f-e720eb79b9b0}
BR,Soybean meal,u-so,Dalgaard el al. 2008,,{81ce23a1-0d64-418d-8f45-a66169ea0076}
DE,"Winter wheat grains, at field (15% H2O content) (mass allocation)",agg,ts,"technology mix|production mix, at plant|15 % H2O",{b90d8101-454a-4011-acfc-c65e5b0095e7}
GLO,"Rail transport cargo - Diesel, average train, gross tonne weight 1000t / 726t payload capacity (Copy",u-so,ts,"diesel driven, cargo|consumption mix|average train, gross tonne weight 1000t / 726t payload capacity",{c88d3261-75a4-401f-a73a-34dea14ab478}
GLO,"Container ship, 27500 dwt payload capacity, ocean going (Copy)",u-so,ts,"heavy fuel oil driven, cargo|consumption mix|27500 dwt payload capacity, ocean going",{be49bc4e-9090-4db9-83f5-b453283997df}
RER,"natural gas, burned in industrial furnace >100kW",agg,,,{a05ef256-04d7-45b1-8f67-865ce1bd553f}
CH,"treatment, sewage, to wastewater treatment, class 2",agg,,,{81691358-b157-40c5-b329-2443d9442d77}
RER,"iron sulphate, at plant",agg,,,{8fdaa552-c105-47a2-b889-39d0791acc87}
RER,"diammonium phosphate, as P2O5, at regional storehouse",agg,,,{eb382e25-48f7-4234-9e3f-d31657c5e46b}
CH,"calcium chloride, CaCl2, at regional storage",agg,,,{3af6e1f3-86a6-48f7-9263-c37b08ebaf1e}
RER,"hexane, at plant",agg,,,{9fdabb9b-3267-4b62-81be-7b6c5e2a3e3a}
RER,"tap water, at user",agg,,,{31bb1db5-432f-40ec-bf41-6eb523b3db34}
