analysis,feed,ingredient,impact,value
FA1,standard,fava beans w/transport,Land occupation (m2yr),0.126551895798772
FA1,standard,fish oil w/transp,Land occupation (m2yr),0.0242278907345056
FA1,standard,fishmeal w/transp,Land occupation (m2yr),0.0161115491043961
FA1,standard,Maize gluten (pelletier disseration via Cederberg),Land occupation (m2yr),0.0170143188435058
FA1,standard,Rapeseed oil,Land occupation (m2yr),0.921573595472268
FA1,standard,sbm w/transp,Land occupation (m2yr),0.0661798507387075
FA1,standard,Soy protein concentrate (3.5 data),Land occupation (m2yr),0.819183254291279
FA1,standard,Sunflower meal,Land occupation (m2yr),0.664862868248127
FA1,standard,wheat flour,Land occupation (m2yr),0.00119958006227145
FA1,standard,Wheat gluten,Land occupation (m2yr),0.020187372685236
FA1,standard,"CH: treatment, sewage, to wastewater treatment, class 2",Land occupation (m2yr),4.30E-07
FA1,standard,"Europe without Switzerland: heat production, natural gas, at industrial furnace >100kW ecoinvent 3.5",Land occupation (m2yr),1.74E-05
FA1,standard,NO: Electricity grid mix ts,Land occupation (m2yr),0.000657163350659394
FA1,standard,NO: Electricity grid mix ts,Land occupation (m2yr),9.12E-05
FA1,standard,NO: pre-mill mix NMBU,Land occupation (m2yr),0
FA1,standard,NO: Salmon feed at mill,Land occupation (m2yr),5.10E-05
FA1,standard,NO: Salmon feed processing,Land occupation (m2yr),0
FA1,standard,"RER: tap water, at user",Land occupation (m2yr),2.06E-06
FA1,yeast,fava beans w/transport,Land occupation (m2yr),0.126551895798772
FA1,yeast,fish oil w/transp,Land occupation (m2yr),0.0242278907345056
FA1,yeast,fishmeal w/transp,Land occupation (m2yr),0.0161115491043961
FA1,yeast,Maize gluten (pelletier disseration via Cederberg),Land occupation (m2yr),0.0170143188435058
FA1,yeast,Rapeseed oil,Land occupation (m2yr),0.921573595472268
FA1,yeast,Sunflower meal,Land occupation (m2yr),0.664862868248127
FA1,yeast,wheat flour,Land occupation (m2yr),0.00119958006227145
FA1,yeast,Wheat gluten,Land occupation (m2yr),0.0149536093964711
FA1,yeast,Yeast protein concentrate (3.5 data) Tallentire 2018,Land occupation (m2yr),0.058477933895267
FA1,yeast,"CH: treatment, sewage, to wastewater treatment, class 2",Land occupation (m2yr),4.34E-07
FA1,yeast,"Europe without Switzerland: heat production, natural gas, at industrial furnace >100kW ecoinvent 3.5",Land occupation (m2yr),1.76E-05
FA1,yeast,NO: Electricity grid mix ts,Land occupation (m2yr),9.19E-05
FA1,yeast,NO: Electricity grid mix ts,Land occupation (m2yr),0.000657378537669943
